state,students,staff,ratio,abbr
Alabama,743632,109816,13.2,AL
Alaska,132608,16853,16.8,AK
Arizona,1065082,102390,20.2,AZ
Arkansas,476409,71616,13.6,AR
California,6406821,579825,20.9,CA
Colorado,794026,97364,16.9,CO
Connecticut,575100,86709,14.7,CT
Delaware,122254,15403,15.2,DE
District of Columbia,72850,12194,13.5,DC
Florida,2671513,321600,16.4,FL
Georgia,1629157,227616,14.3,GA
Hawaii,180728,21061,16,HI
Idaho,267380,26312,18.1,ID
Illinois,2118276,221553,15,IL
Indiana,1045940,134681,17.1,IN
Iowa,483122,69690,13.6,IA
Kansas,469506,53762,13.3,KS
Kentucky,683173,98812,15.8,KY
Louisiana,675851,95226,14.7,LA
Maine,193986,36785,11.5,ME
Maryland,851640,113474,14.6,MT
Massachusetts,968661,136563,13.2,NE
Michigan,1714709,212320,17.5,NV
Minnesota,840565,106701,16.2,NH
Mississippi,495026,68815,15.3,NJ
Missouri,920353,127020,13.7,NM
Montana,144418,19023,13.9,NY
Nebraska,287580,42938,13.4,NC
Nevada,424240,33949,18.5,ND
New Hampshire,203551,32174,13.1,OH
New Jersey,1388850,205372,12.4,OK
New Mexico,328220,46551,14.9,OR
New York,2809649,373360,12.8,MD
North Carolina,1444481,196657,13.8,MA
North Dakota,96670,15157,12.1,MI
Ohio,1836096,242574,16.6,MN
Oklahoma,639391,81831,15.1,MS
Oregon,562574,51067,21.3,MO
Pennsylvania,1871060,241024,15.2,PA
Rhode Island,151612,17902,13.3,RI
South Carolina,703119,74709,14.1,SC
South Dakota,121158,17297,13.4,SD
Tennessee,978368,123218,15.7,TN
Texas,4599509,616155,14.8,TX
Utah,523586,47365,22.1,UT
Vermont,95399,19232,10.8,VT
Virginia,1220440,239815,11.6,VA
Washington,1026774,102948,19.1,WA
West Virginia,281939,39217,14.5,WV
Wisconsin,876700,105033,14.8,WI
Wyoming,85193,15233,12.6,WY
Puerto Rico,544138,71962,"13.5		",PR
